"i","j","onetime","recurring"
"ANZ","ANZ_1",3.3989370860367,0.0947399668334346
"ANZ","ANZ_2",3.3989370860367,0.0947399668334346
"ANZ","ANZ_3",3.3989370860367,0.0947399668334346
"BRA","BRA_4",3.21757195281583,0.762336191863368
"BRA","BRA_5",3.21757195281583,0.762336191863368
"BRA","BRA_6",3.21757195281583,0.762336191863368
"BRA","BRA_7",3.21757195281583,0.762336191863368
"BRA","BRA_8",3.21757195281583,0.762336191863368
"BRA","BRA_9",3.21757195281583,0.762336191863368
"BRA","BRA_10",3.21757195281583,0.762336191863368
"BRA","BRA_11",3.21757195281583,0.762336191863368
"BRA","BRA_12",3.21757195281583,0.762336191863368
"CAN","CAN_13",1.11151492303829,0.0744213269069568
"CAN","CAN_14",1.11151492303829,0.0744213269069568
"CAN","CAN_15",1.11151492303829,0.0744213269069568
"CAN","CAN_16",1.11151492303829,0.0744213269069568
"CHA","CHA_17",3.49494249571066,0.39826953470049
"CHA","CHA_18",3.49494249571066,0.39826953470049
"CHA","CHA_19",3.49494249571066,0.39826953470049
"CHA","CHA_20",3.49494249571066,0.39826953470049
"CHA","CHA_21",3.49494249571066,0.39826953470049
"CHA","CHA_22",3.49494249571066,0.39826953470049
"CHA","CHA_23",3.49494249571066,0.39826953470049
"CHA","CHA_24",3.49494249571066,0.39826953470049
"CHA","CHA_25",3.49494249571066,0.39826953470049
"CHA","CHA_26",3.49494249571066,0.39826953470049
"CHA","CHA_27",3.49494249571066,0.39826953470049
"CHA","CHA_28",3.49494249571066,0.39826953470049
"CHA","CHA_29",3.49494249571066,0.39826953470049
"CHA","CHA_30",3.49494249571066,0.39826953470049
"CHA","CHA_31",3.49494249571066,0.39826953470049
"CHA","CHA_32",3.49494249571066,0.39826953470049
"CHA","CHA_33",3.49494249571066,0.39826953470049
"CHA","CHA_34",3.49494249571066,0.39826953470049
"CHA","CHA_35",3.49494249571066,0.39826953470049
"CHA","CHA_36",3.49494249571066,0.39826953470049
"CHA","CHA_37",3.49494249571066,0.39826953470049
"CHA","CHA_38",3.49494249571066,0.39826953470049
"DEA","DEA_39",0.986077502256535,0.0643643908384492
"EUR","EUR_40",1.71498544782722,0.078512376362112
"EUR","EUR_41",1.71498544782722,0.078512376362112
"EUR","EUR_42",1.71498544782722,0.078512376362112
"EUR","EUR_43",1.71498544782722,0.078512376362112
"EUR","EUR_44",1.71498544782722,0.078512376362112
"EUR","EUR_45",1.71498544782722,0.078512376362112
"EUR","EUR_46",1.71498544782722,0.078512376362112
"IND","IND_47",1.56538978337753,0.375133261737148
"IND","IND_48",1.56538978337753,0.375133261737148
"IND","IND_49",1.56538978337753,0.375133261737148
"IND","IND_50",1.56538978337753,0.375133261737148
"IND","IND_51",1.56538978337753,0.375133261737148
"IND","IND_52",1.56538978337753,0.375133261737148
"MEA","MEA_53",0.602988411069537,0.068464186946477
"MEA","MEA_54",0.602988411069537,0.068464186946477
"MEA","MEA_55",0.602988411069537,0.068464186946477
"MEA","MEA_56",0.602988411069537,0.068464186946477
"MEA","MEA_57",0.602988411069537,0.068464186946477
"MEA","MEA_58",0.602988411069537,0.068464186946477
"MEA","MEA_59",0.602988411069537,0.068464186946477
"MEA","MEA_60",0.602988411069537,0.068464186946477
"MEA","MEA_61",0.602988411069537,0.068464186946477
"MEA","MEA_62",0.602988411069537,0.068464186946477
"MEA","MEA_63",0.602988411069537,0.068464186946477
"MEA","MEA_64",0.602988411069537,0.068464186946477
"MEA","MEA_65",0.602988411069537,0.068464186946477
"MEA","MEA_66",0.602988411069537,0.068464186946477
"MEA","MEA_67",0.602988411069537,0.068464186946477
"MEA","MEA_68",0.602988411069537,0.068464186946477
"MEA","MEA_69",0.602988411069537,0.068464186946477
"MEA","MEA_70",0.602988411069537,0.068464186946477
"MEA","MEA_71",0.602988411069537,0.068464186946477
"MEA","MEA_72",0.602988411069537,0.068464186946477
"MEA","MEA_73",0.602988411069537,0.068464186946477
"MEA","MEA_74",0.602988411069537,0.068464186946477
"MEA","MEA_75",0.602988411069537,0.068464186946477
"MEA","MEA_76",0.602988411069537,0.068464186946477
"MEA","MEA_77",0.602988411069537,0.068464186946477
"MEA","MEA_78",0.602988411069537,0.068464186946477
"NEU","NEU_79",0.646077856030604,0.068464186946477
"NEU","NEU_80",0.646077856030604,0.068464186946477
"NEU","NEU_81",0.646077856030604,0.068464186946477
"NEU","NEU_82",0.646077856030604,0.068464186946477
"NEU","NEU_83",0.646077856030604,0.068464186946477
"NEU","NEU_84",0.646077856030604,0.068464186946477
"NEU","NEU_85",0.646077856030604,0.068464186946477
"REF","REF_86",0.823906585584608,0.068464186946477
"REF","REF_87",0.823906585584608,0.068464186946477
"REF","REF_88",0.823906585584608,0.068464186946477
"REF","REF_89",0.823906585584608,0.068464186946477
"REF","REF_90",0.823906585584608,0.068464186946477
"REF","REF_91",0.823906585584608,0.068464186946477
"REF","REF_92",0.823906585584608,0.068464186946477
"REF","REF_93",0.823906585584608,0.068464186946477
"REF","REF_94",0.823906585584608,0.068464186946477
"REF","REF_95",0.823906585584608,0.068464186946477
"RUS","RUS_96",1.22126914221122,0.068464186946477
"RUS","RUS_97",1.22126914221122,0.068464186946477
"RUS","RUS_98",1.22126914221122,0.068464186946477
"RUS","RUS_99",1.22126914221122,0.068464186946477
"RUS","RUS_100",1.22126914221122,0.068464186946477
"SAF","SAF_101",0.315218597556882,0.116510076399115
"SAF","SAF_102",0.315218597556882,0.116510076399115
"SAF","SAF_103",0.315218597556882,0.116510076399115
"SAF","SAF_104",0.315218597556882,0.116510076399115
"SAF","SAF_105",0.315218597556882,0.116510076399115
"SAF","SAF_106",0.315218597556882,0.116510076399115
"SAF","SAF_107",0.315218597556882,0.116510076399115
"SAF","SAF_108",0.315218597556882,0.116510076399115
"SAF","SAF_109",0.315218597556882,0.116510076399115
"SAF","SAF_110",0.315218597556882,0.116510076399115
"SAF","SAF_111",0.315218597556882,0.116510076399115
"SAS","SAS_112",1.15296053733819,0.068464186946477
"SAS","SAS_113",1.15296053733819,0.068464186946477
"SAS","SAS_114",1.15296053733819,0.068464186946477
"SAS","SAS_115",1.15296053733819,0.068464186946477
"SAS","SAS_116",1.15296053733819,0.068464186946477
"SAS","SAS_117",1.15296053733819,0.068464186946477
"SAS","SAS_118",1.15296053733819,0.068464186946477
"SCO","SCO_119",0.585325597341469,0.0796245918785506
"SCO","SCO_120",0.585325597341469,0.0796245918785506
"SCO","SCO_121",0.585325597341469,0.0796245918785506
"SCO","SCO_122",0.585325597341469,0.0796245918785506
"SCO","SCO_123",0.585325597341469,0.0796245918785506
"SCO","SCO_124",0.585325597341469,0.0796245918785506
"SCO","SCO_125",0.585325597341469,0.0796245918785506
"SCO","SCO_126",0.585325597341469,0.0796245918785506
"SEA","SEA_127",2.24267757419576,0.216598750555548
"SEA","SEA_128",2.24267757419576,0.216598750555548
"SEA","SEA_129",2.24267757419576,0.216598750555548
"SEA","SEA_130",2.24267757419576,0.216598750555548
"SEA","SEA_131",2.24267757419576,0.216598750555548
"TAF","TAF_132",0.367052796242331,0.125652841958018
"TAF","TAF_133",0.367052796242331,0.125652841958018
"TAF","TAF_134",0.367052796242331,0.125652841958018
"TAF","TAF_135",0.367052796242331,0.125652841958018
"TAF","TAF_136",0.367052796242331,0.125652841958018
"TAF","TAF_137",0.367052796242331,0.125652841958018
"TAF","TAF_138",0.367052796242331,0.125652841958018
"TAF","TAF_139",0.367052796242331,0.125652841958018
"TAF","TAF_140",0.367052796242331,0.125652841958018
"TAF","TAF_141",0.367052796242331,0.125652841958018
"TAF","TAF_142",0.367052796242331,0.125652841958018
"TAF","TAF_143",0.367052796242331,0.125652841958018
"TAF","TAF_144",0.367052796242331,0.125652841958018
"TAF","TAF_145",0.367052796242331,0.125652841958018
"TAF","TAF_146",0.367052796242331,0.125652841958018
"TAF","TAF_147",0.367052796242331,0.125652841958018
"TAF","TAF_148",0.367052796242331,0.125652841958018
"TAF","TAF_149",0.367052796242331,0.125652841958018
"TAF","TAF_150",0.367052796242331,0.125652841958018
"TAF","TAF_151",0.367052796242331,0.125652841958018
"TAF","TAF_152",0.367052796242331,0.125652841958018
"TAF","TAF_153",0.367052796242331,0.125652841958018
"TAF","TAF_154",0.367052796242331,0.125652841958018
"TAF","TAF_155",0.367052796242331,0.125652841958018
"TAF","TAF_156",0.367052796242331,0.125652841958018
"TLA","TLA_157",1.47355009559961,0.244463389371196
"TLA","TLA_158",1.47355009559961,0.244463389371196
"TLA","TLA_159",1.47355009559961,0.244463389371196
"TLA","TLA_160",1.47355009559961,0.244463389371196
"TLA","TLA_161",1.47355009559961,0.244463389371196
"TLA","TLA_162",1.47355009559961,0.244463389371196
"TLA","TLA_163",1.47355009559961,0.244463389371196
"TLA","TLA_164",1.47355009559961,0.244463389371196
"TLA","TLA_165",1.47355009559961,0.244463389371196
"TLA","TLA_166",1.47355009559961,0.244463389371196
"TLA","TLA_167",1.47355009559961,0.244463389371196
"TLA","TLA_168",1.47355009559961,0.244463389371196
"TLA","TLA_169",1.47355009559961,0.244463389371196
"TLA","TLA_170",1.47355009559961,0.244463389371196
"TLA","TLA_171",1.47355009559961,0.244463389371196
"TLA","TLA_172",1.47355009559961,0.244463389371196
"TLA","TLA_173",1.47355009559961,0.244463389371196
"TLA","TLA_174",1.47355009559961,0.244463389371196
"TLA","TLA_175",1.47355009559961,0.244463389371196
"TLA","TLA_176",1.47355009559961,0.244463389371196
"TLA","TLA_177",1.47355009559961,0.244463389371196
"TLA","TLA_178",1.47355009559961,0.244463389371196
"TLA","TLA_179",1.47355009559961,0.244463389371196
"TLA","TLA_180",1.47355009559961,0.244463389371196
"TLA","TLA_181",1.47355009559961,0.244463389371196
"TLA","TLA_182",1.47355009559961,0.244463389371196
"USA","USA_183",2.23881813448883,0.133333333333333
"USA","USA_184",2.23881813448883,0.133333333333333
"USA","USA_185",2.23881813448883,0.133333333333333
"USA","USA_186",2.23881813448883,0.133333333333333
"USA","USA_187",2.23881813448883,0.133333333333333
"USA","USA_188",2.23881813448883,0.133333333333333
"USA","USA_189",2.23881813448883,0.133333333333333
"USA","USA_190",2.23881813448883,0.133333333333333
"USA","USA_191",2.23881813448883,0.133333333333333
"USA","USA_192",2.23881813448883,0.133333333333333
"USA","USA_193",2.23881813448883,0.133333333333333
"USA","USA_194",2.23881813448883,0.133333333333333
"USA","USA_195",2.23881813448883,0.133333333333333
"USA","USA_196",2.23881813448883,0.133333333333333
"USA","USA_197",2.23881813448883,0.133333333333333
"USA","USA_198",2.23881813448883,0.133333333333333
"USA","USA_199",2.23881813448883,0.133333333333333
"USA","USA_200",2.23881813448883,0.133333333333333
