"t","i","forestry","pasture"
"y1995","ANZ",6.02174321094264,0.110541221701858
"y1995","BRA",5.23514390563165,0.0704110362049254
"y1995","CAN",1.38065517103398,0.172581896379248
"y1995","CHA",6.2174925098221,0.0643235350833959
"y1995","DEA",1.22484455612105,0.153105569515131
"y1995","EUR",2.78072359621795,0.132009609541561
"y1995","IND",2.19044042929672,0.0544370969386247
"y1995","MEA",0.332192100182855,0.0415240125228569
"y1995","NEU",0.418370990104988,0.0522963737631235
"y1995","REF",0.774028449212997,0.0621437054840904
"y1995","RUS",1.56875356246622,0.0337587666687472
"y1995","SAF",0.383684677718232,0.047960584714779
"y1995","SAS",1.43213635272017,0.179017044090021
"y1995","SCO",1.04275950541416,0.0267810367035771
"y1995","SEA",3.86326040939876,0.0647703897556264
"y1995","TAF",0.468446391325513,0.047960584714779
"y1995","TLA",2.5539340177999,0.0267810367035771
"y1995","USA",2.7366680750064,0.0635178445774245
"y2000","ANZ",6.02174321094264,0.110541221701858
"y2000","BRA",5.23514390563165,0.0704110362049254
"y2000","CAN",1.38065517103398,0.172581896379248
"y2000","CHA",6.2174925098221,0.0643235350833959
"y2000","DEA",1.22484455612105,0.153105569515131
"y2000","EUR",2.78072359621795,0.132009609541561
"y2000","IND",2.19044042929672,0.0544370969386247
"y2000","MEA",0.332192100182855,0.0415240125228569
"y2000","NEU",0.418370990104988,0.0522963737631235
"y2000","REF",0.774028449212997,0.0621437054840904
"y2000","RUS",1.56875356246622,0.0337587666687472
"y2000","SAF",0.383684677718232,0.047960584714779
"y2000","SAS",1.43213635272017,0.179017044090021
"y2000","SCO",1.04275950541416,0.0267810367035771
"y2000","SEA",3.86326040939876,0.0647703897556264
"y2000","TAF",0.468446391325513,0.047960584714779
"y2000","TLA",2.5539340177999,0.0267810367035771
"y2000","USA",2.7366680750064,0.0635178445774245
"y2005","ANZ",6.02174321094264,0.110541221701858
"y2005","BRA",5.23514390563165,0.0704110362049254
"y2005","CAN",1.38065517103398,0.172581896379248
"y2005","CHA",6.2174925098221,0.0643235350833959
"y2005","DEA",1.22484455612105,0.153105569515131
"y2005","EUR",2.78072359621795,0.132009609541561
"y2005","IND",2.19044042929672,0.0544370969386247
"y2005","MEA",0.332192100182855,0.0415240125228569
"y2005","NEU",0.418370990104988,0.0522963737631235
"y2005","REF",0.774028449212997,0.0621437054840904
"y2005","RUS",1.56875356246622,0.0337587666687472
"y2005","SAF",0.383684677718232,0.047960584714779
"y2005","SAS",1.43213635272017,0.179017044090021
"y2005","SCO",1.04275950541416,0.0267810367035771
"y2005","SEA",3.86326040939876,0.0647703897556264
"y2005","TAF",0.468446391325513,0.047960584714779
"y2005","TLA",2.5539340177999,0.0267810367035771
"y2005","USA",2.7366680750064,0.0635178445774245
"y2010","ANZ",6.02174321094264,0.110541221701858
"y2010","BRA",5.23514390563165,0.0704110362049254
"y2010","CAN",1.38065517103398,0.172581896379248
"y2010","CHA",6.2174925098221,0.0643235350833959
"y2010","DEA",1.22484455612105,0.153105569515131
"y2010","EUR",2.78072359621795,0.132009609541561
"y2010","IND",2.19044042929672,0.0544370969386247
"y2010","MEA",0.332192100182855,0.0415240125228569
"y2010","NEU",0.418370990104988,0.0522963737631235
"y2010","REF",0.774028449212997,0.0621437054840904
"y2010","RUS",1.56875356246622,0.0337587666687472
"y2010","SAF",0.383684677718232,0.047960584714779
"y2010","SAS",1.43213635272017,0.179017044090021
"y2010","SCO",1.04275950541416,0.0267810367035771
"y2010","SEA",3.86326040939876,0.0647703897556264
"y2010","TAF",0.468446391325513,0.047960584714779
"y2010","TLA",2.5539340177999,0.0267810367035771
"y2010","USA",2.7366680750064,0.0635178445774245
"y2015","ANZ",6.02174321094264,0.110541221701858
"y2015","BRA",5.23514390563165,0.0704110362049254
"y2015","CAN",1.38065517103398,0.172581896379248
"y2015","CHA",6.2174925098221,0.0643235350833959
"y2015","DEA",1.22484455612105,0.153105569515131
"y2015","EUR",2.78072359621795,0.132009609541561
"y2015","IND",2.19044042929672,0.0544370969386247
"y2015","MEA",0.332192100182855,0.0415240125228569
"y2015","NEU",0.418370990104988,0.0522963737631235
"y2015","REF",0.774028449212997,0.0621437054840904
"y2015","RUS",1.56875356246622,0.0337587666687472
"y2015","SAF",0.383684677718232,0.047960584714779
"y2015","SAS",1.43213635272017,0.179017044090021
"y2015","SCO",1.04275950541416,0.0267810367035771
"y2015","SEA",3.86326040939876,0.0647703897556264
"y2015","TAF",0.468446391325513,0.047960584714779
"y2015","TLA",2.5539340177999,0.0267810367035771
"y2015","USA",2.7366680750064,0.0635178445774245
"y2020","ANZ",6.02174321094264,0.110541221701858
"y2020","BRA",5.23514390563165,0.0704110362049254
"y2020","CAN",1.38065517103398,0.172581896379248
"y2020","CHA",6.2174925098221,0.0643235350833959
"y2020","DEA",1.22484455612105,0.153105569515131
"y2020","EUR",2.78072359621795,0.132009609541561
"y2020","IND",2.19044042929672,0.0544370969386247
"y2020","MEA",0.332192100182855,0.0415240125228569
"y2020","NEU",0.418370990104988,0.0522963737631235
"y2020","REF",0.774028449212997,0.0621437054840904
"y2020","RUS",1.56875356246622,0.0337587666687472
"y2020","SAF",0.383684677718232,0.047960584714779
"y2020","SAS",1.43213635272017,0.179017044090021
"y2020","SCO",1.04275950541416,0.0267810367035771
"y2020","SEA",3.86326040939876,0.0647703897556264
"y2020","TAF",0.468446391325513,0.047960584714779
"y2020","TLA",2.5539340177999,0.0267810367035771
"y2020","USA",2.7366680750064,0.0635178445774245
"y2025","ANZ",6.02174321094264,0.110541221701858
"y2025","BRA",5.23514390563165,0.0704110362049254
"y2025","CAN",1.38065517103398,0.172581896379248
"y2025","CHA",6.2174925098221,0.0643235350833959
"y2025","DEA",1.22484455612105,0.153105569515131
"y2025","EUR",2.78072359621795,0.132009609541561
"y2025","IND",2.19044042929672,0.0544370969386247
"y2025","MEA",0.332192100182855,0.0415240125228569
"y2025","NEU",0.418370990104988,0.0522963737631235
"y2025","REF",0.774028449212997,0.0621437054840904
"y2025","RUS",1.56875356246622,0.0337587666687472
"y2025","SAF",0.383684677718232,0.047960584714779
"y2025","SAS",1.43213635272017,0.179017044090021
"y2025","SCO",1.04275950541416,0.0267810367035771
"y2025","SEA",3.86326040939876,0.0647703897556264
"y2025","TAF",0.468446391325513,0.047960584714779
"y2025","TLA",2.5539340177999,0.0267810367035771
"y2025","USA",2.7366680750064,0.0635178445774245
"y2030","ANZ",6.02174321094264,0.110541221701858
"y2030","BRA",5.23514390563165,0.0704110362049254
"y2030","CAN",1.38065517103398,0.172581896379248
"y2030","CHA",6.2174925098221,0.0643235350833959
"y2030","DEA",1.22484455612105,0.153105569515131
"y2030","EUR",2.78072359621795,0.132009609541561
"y2030","IND",2.19044042929672,0.0544370969386247
"y2030","MEA",0.332192100182855,0.0415240125228569
"y2030","NEU",0.418370990104988,0.0522963737631235
"y2030","REF",0.774028449212997,0.0621437054840904
"y2030","RUS",1.56875356246622,0.0337587666687472
"y2030","SAF",0.383684677718232,0.047960584714779
"y2030","SAS",1.43213635272017,0.179017044090021
"y2030","SCO",1.04275950541416,0.0267810367035771
"y2030","SEA",3.86326040939876,0.0647703897556264
"y2030","TAF",0.468446391325513,0.047960584714779
"y2030","TLA",2.5539340177999,0.0267810367035771
"y2030","USA",2.7366680750064,0.0635178445774245
"y2035","ANZ",6.02174321094264,0.110541221701858
"y2035","BRA",5.23514390563165,0.0704110362049254
"y2035","CAN",1.38065517103398,0.172581896379248
"y2035","CHA",6.2174925098221,0.0643235350833959
"y2035","DEA",1.22484455612105,0.153105569515131
"y2035","EUR",2.78072359621795,0.132009609541561
"y2035","IND",2.19044042929672,0.0544370969386247
"y2035","MEA",0.332192100182855,0.0415240125228569
"y2035","NEU",0.418370990104988,0.0522963737631235
"y2035","REF",0.774028449212997,0.0621437054840904
"y2035","RUS",1.56875356246622,0.0337587666687472
"y2035","SAF",0.383684677718232,0.047960584714779
"y2035","SAS",1.43213635272017,0.179017044090021
"y2035","SCO",1.04275950541416,0.0267810367035771
"y2035","SEA",3.86326040939876,0.0647703897556264
"y2035","TAF",0.468446391325513,0.047960584714779
"y2035","TLA",2.5539340177999,0.0267810367035771
"y2035","USA",2.7366680750064,0.0635178445774245
"y2040","ANZ",6.02174321094264,0.110541221701858
"y2040","BRA",5.23514390563165,0.0704110362049254
"y2040","CAN",1.38065517103398,0.172581896379248
"y2040","CHA",6.2174925098221,0.0643235350833959
"y2040","DEA",1.22484455612105,0.153105569515131
"y2040","EUR",2.78072359621795,0.132009609541561
"y2040","IND",2.19044042929672,0.0544370969386247
"y2040","MEA",0.332192100182855,0.0415240125228569
"y2040","NEU",0.418370990104988,0.0522963737631235
"y2040","REF",0.774028449212997,0.0621437054840904
"y2040","RUS",1.56875356246622,0.0337587666687472
"y2040","SAF",0.383684677718232,0.047960584714779
"y2040","SAS",1.43213635272017,0.179017044090021
"y2040","SCO",1.04275950541416,0.0267810367035771
"y2040","SEA",3.86326040939876,0.0647703897556264
"y2040","TAF",0.468446391325513,0.047960584714779
"y2040","TLA",2.5539340177999,0.0267810367035771
"y2040","USA",2.7366680750064,0.0635178445774245
"y2045","ANZ",6.02174321094264,0.110541221701858
"y2045","BRA",5.23514390563165,0.0704110362049254
"y2045","CAN",1.38065517103398,0.172581896379248
"y2045","CHA",6.2174925098221,0.0643235350833959
"y2045","DEA",1.22484455612105,0.153105569515131
"y2045","EUR",2.78072359621795,0.132009609541561
"y2045","IND",2.19044042929672,0.0544370969386247
"y2045","MEA",0.332192100182855,0.0415240125228569
"y2045","NEU",0.418370990104988,0.0522963737631235
"y2045","REF",0.774028449212997,0.0621437054840904
"y2045","RUS",1.56875356246622,0.0337587666687472
"y2045","SAF",0.383684677718232,0.047960584714779
"y2045","SAS",1.43213635272017,0.179017044090021
"y2045","SCO",1.04275950541416,0.0267810367035771
"y2045","SEA",3.86326040939876,0.0647703897556264
"y2045","TAF",0.468446391325513,0.047960584714779
"y2045","TLA",2.5539340177999,0.0267810367035771
"y2045","USA",2.7366680750064,0.0635178445774245
"y2050","ANZ",6.02174321094264,0.110541221701858
"y2050","BRA",5.23514390563165,0.0704110362049254
"y2050","CAN",1.38065517103398,0.172581896379248
"y2050","CHA",6.2174925098221,0.0643235350833959
"y2050","DEA",1.22484455612105,0.153105569515131
"y2050","EUR",2.78072359621795,0.132009609541561
"y2050","IND",2.19044042929672,0.0544370969386247
"y2050","MEA",0.332192100182855,0.0415240125228569
"y2050","NEU",0.418370990104988,0.0522963737631235
"y2050","REF",0.774028449212997,0.0621437054840904
"y2050","RUS",1.56875356246622,0.0337587666687472
"y2050","SAF",0.383684677718232,0.047960584714779
"y2050","SAS",1.43213635272017,0.179017044090021
"y2050","SCO",1.04275950541416,0.0267810367035771
"y2050","SEA",3.86326040939876,0.0647703897556264
"y2050","TAF",0.468446391325513,0.047960584714779
"y2050","TLA",2.5539340177999,0.0267810367035771
"y2050","USA",2.7366680750064,0.0635178445774245
"y2055","ANZ",6.02174321094264,0.110541221701858
"y2055","BRA",5.23514390563165,0.0704110362049254
"y2055","CAN",1.38065517103398,0.172581896379248
"y2055","CHA",6.2174925098221,0.0643235350833959
"y2055","DEA",1.22484455612105,0.153105569515131
"y2055","EUR",2.78072359621795,0.132009609541561
"y2055","IND",2.19044042929672,0.0544370969386247
"y2055","MEA",0.332192100182855,0.0415240125228569
"y2055","NEU",0.418370990104988,0.0522963737631235
"y2055","REF",0.774028449212997,0.0621437054840904
"y2055","RUS",1.56875356246622,0.0337587666687472
"y2055","SAF",0.383684677718232,0.047960584714779
"y2055","SAS",1.43213635272017,0.179017044090021
"y2055","SCO",1.04275950541416,0.0267810367035771
"y2055","SEA",3.86326040939876,0.0647703897556264
"y2055","TAF",0.468446391325513,0.047960584714779
"y2055","TLA",2.5539340177999,0.0267810367035771
"y2055","USA",2.7366680750064,0.0635178445774245
"y2060","ANZ",6.02174321094264,0.110541221701858
"y2060","BRA",5.23514390563165,0.0704110362049254
"y2060","CAN",1.38065517103398,0.172581896379248
"y2060","CHA",6.2174925098221,0.0643235350833959
"y2060","DEA",1.22484455612105,0.153105569515131
"y2060","EUR",2.78072359621795,0.132009609541561
"y2060","IND",2.19044042929672,0.0544370969386247
"y2060","MEA",0.332192100182855,0.0415240125228569
"y2060","NEU",0.418370990104988,0.0522963737631235
"y2060","REF",0.774028449212997,0.0621437054840904
"y2060","RUS",1.56875356246622,0.0337587666687472
"y2060","SAF",0.383684677718232,0.047960584714779
"y2060","SAS",1.43213635272017,0.179017044090021
"y2060","SCO",1.04275950541416,0.0267810367035771
"y2060","SEA",3.86326040939876,0.0647703897556264
"y2060","TAF",0.468446391325513,0.047960584714779
"y2060","TLA",2.5539340177999,0.0267810367035771
"y2060","USA",2.7366680750064,0.0635178445774245
"y2065","ANZ",6.02174321094264,0.110541221701858
"y2065","BRA",5.23514390563165,0.0704110362049254
"y2065","CAN",1.38065517103398,0.172581896379248
"y2065","CHA",6.2174925098221,0.0643235350833959
"y2065","DEA",1.22484455612105,0.153105569515131
"y2065","EUR",2.78072359621795,0.132009609541561
"y2065","IND",2.19044042929672,0.0544370969386247
"y2065","MEA",0.332192100182855,0.0415240125228569
"y2065","NEU",0.418370990104988,0.0522963737631235
"y2065","REF",0.774028449212997,0.0621437054840904
"y2065","RUS",1.56875356246622,0.0337587666687472
"y2065","SAF",0.383684677718232,0.047960584714779
"y2065","SAS",1.43213635272017,0.179017044090021
"y2065","SCO",1.04275950541416,0.0267810367035771
"y2065","SEA",3.86326040939876,0.0647703897556264
"y2065","TAF",0.468446391325513,0.047960584714779
"y2065","TLA",2.5539340177999,0.0267810367035771
"y2065","USA",2.7366680750064,0.0635178445774245
"y2070","ANZ",6.02174321094264,0.110541221701858
"y2070","BRA",5.23514390563165,0.0704110362049254
"y2070","CAN",1.38065517103398,0.172581896379248
"y2070","CHA",6.2174925098221,0.0643235350833959
"y2070","DEA",1.22484455612105,0.153105569515131
"y2070","EUR",2.78072359621795,0.132009609541561
"y2070","IND",2.19044042929672,0.0544370969386247
"y2070","MEA",0.332192100182855,0.0415240125228569
"y2070","NEU",0.418370990104988,0.0522963737631235
"y2070","REF",0.774028449212997,0.0621437054840904
"y2070","RUS",1.56875356246622,0.0337587666687472
"y2070","SAF",0.383684677718232,0.047960584714779
"y2070","SAS",1.43213635272017,0.179017044090021
"y2070","SCO",1.04275950541416,0.0267810367035771
"y2070","SEA",3.86326040939876,0.0647703897556264
"y2070","TAF",0.468446391325513,0.047960584714779
"y2070","TLA",2.5539340177999,0.0267810367035771
